Effectiveness,Number of normal cells,Number of target cells,Number of infectious cells,Number of dead cells
0.000000,5641,31,411,3917
0.010000,6126,34,398,3442
0.020000,5964,32,404,3600
0.030000,6157,45,374,3424
0.040000,6370,35,360,3235
0.050000,6304,41,366,3289
0.060000,6328,44,313,3315
0.070000,6626,28,330,3016
0.080000,6453,32,317,3198
0.090000,6376,36,309,3279
0.100000,6546,46,337,3071
0.110000,6511,22,292,3175
0.120000,6541,25,313,3121
0.130000,6417,33,348,3202
0.140000,6768,43,329,2860
0.150000,6892,44,313,2751
0.160000,7070,23,292,2615
0.170000,6870,40,299,2791
0.180000,6897,37,295,2771
0.190000,6908,44,308,2740
0.200000,6758,48,345,2849
0.210000,6899,42,313,2746
0.220000,6684,40,342,2934
0.230000,6936,50,295,2719
0.240000,6860,31,318,2791
0.250000,6918,46,292,2744
0.260000,6845,43,303,2809
0.270000,6968,33,307,2692
0.280000,6883,40,319,2758
0.290000,6787,69,331,2813
0.300000,6794,38,309,2859
0.310000,7037,49,301,2613
0.320000,6990,52,300,2658
0.330000,6832,40,321,2807
0.340000,6890,43,308,2759
0.350000,6802,36,314,2848
0.360000,6788,48,327,2837
0.370000,6887,35,323,2755
0.380000,6807,52,327,2814
0.390000,6967,44,312,2677
0.400000,6861,45,292,2802
0.410000,7049,47,305,2599
0.420000,6911,41,337,2711
0.430000,7031,49,308,2612
0.440000,6910,36,362,2692
0.450000,7204,49,284,2463
0.460000,7251,59,292,2398
0.470000,7289,40,299,2372
0.480000,7344,34,287,2335
0.490000,7228,64,307,2401
0.500000,7252,57,288,2403
0.510000,7382,43,291,2284
0.520000,7297,47,299,2357
0.530000,7345,38,250,2367
0.540000,7167,54,312,2467
0.550000,7275,43,290,2392
0.560000,7194,56,313,2437
0.570000,7169,53,326,2452
0.580000,7571,56,276,2097
0.590000,7621,44,266,2069
0.600000,7566,45,284,2105
0.610000,7701,49,229,2021
0.620000,7614,53,287,2046
0.630000,7569,60,262,2109
0.640000,7605,66,251,2078
0.650000,7930,63,237,1770
0.660000,7890,64,252,1794
0.670000,7938,60,242,1760
0.680000,7971,69,250,1710
0.690000,8202,61,231,1506
0.700000,9992,6,2,0
0.710000,9992,6,2,0
0.720000,9992,6,2,0
0.730000,9992,6,2,0
0.740000,9992,6,2,0
0.750000,9992,6,2,0
0.760000,9992,6,2,0
0.770000,9992,6,2,0
0.780000,9992,6,2,0
0.790000,9992,6,2,0
0.800000,9992,6,2,0
0.810000,9992,6,2,0
0.820000,9992,6,2,0
0.830000,9992,6,2,0
0.840000,9992,6,2,0
0.850000,9992,6,2,0
0.860000,9992,6,2,0
0.870000,9992,6,2,0
0.880000,9992,6,2,0
0.890000,9992,6,2,0
0.900000,9992,6,2,0
0.910000,9992,6,2,0
0.920000,9992,6,2,0
0.930000,9992,6,2,0
0.940000,9992,6,2,0
0.950000,9992,6,2,0
0.960000,9992,6,2,0
0.970000,9992,6,2,0
0.980000,9992,6,2,0
0.990000,9992,6,2,0
